test_class_name,cycle_id,tests,failures,failures_%,time,timestamp,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
org/apache/commons/validator/UrlTest.java,8f4cf677920a5c00280f76c7ee7ea6c996b34ff6,5,0,0.0,0.28300000000000003,1562679049.0034392,2,2,2,1,13,0,12,1,1,2,0,11,11,9,12,11,1,1,1,8,282,26,212,110,162,59,89,119,55,64,9,9,9,1,4,0.28,30,30,30,11
org/apache/commons/validator/routines/UrlValidatorTest.java,37093d3b9dcf4c34b58e2d65971f0b30230ff630,9,0,0.0,0.254,1562679072.8989449,2,2,2,1,17,2,14,4,1,2,0,15,15,13,12,15,1,1,1,12,408,64,294,121,235,111,130,164,65,99,9,9,9,1,4,0.38,34,34,34,15
org/apache/commons/validator/GenericValidatorTest.java,37093d3b9dcf4c34b58e2d65971f0b30230ff630,2,0,0.0,0.005,1562679072.929358,1,1,1,1,15,2,10,3,1,0,0,3,3,3,0,3,0,0,0,3,77,12,35,6,25,30,27,31,6,25,1,1,1,1,0,0.86,3,3,3,3
org/apache/commons/validator/util/FlagsTest.java,1575a8f1b2a768baf0ca59364bfaddb9b895f48c,11,0,0.0,0.001,1562679111.1390982,1,1,1,1,5,0,4,1,1,0,3,12,12,12,0,12,0,0,0,12,118,20,62,26,34,36,34,47,26,21,1,1,1,1,0,0.58,12,12,12,12
org/apache/commons/validator/UrlTest.java,1575a8f1b2a768baf0ca59364bfaddb9b895f48c,5,0,0.0,0.226,1562679111.16307,2,2,2,1,13,0,12,1,1,2,0,11,11,9,12,11,1,1,1,8,282,26,212,110,162,59,89,119,55,64,9,9,9,1,4,0.28,30,30,30,11
org/apache/commons/validator/CreditCardValidatorTest.java,1575a8f1b2a768baf0ca59364bfaddb9b895f48c,2,0,0.0,0.011000000000000001,1562679111.180756,1,1,1,1,10,0,8,2,2,0,7,4,4,4,0,4,0,0,0,4,87,11,45,18,31,33,33,39,18,21,1,1,2,1,0,0.73,4,4,5,4
org/apache/commons/validator/ValidatorTest.java,133e5bb1bed1902092fa149d306f486ce1cf269f,4,0,0.0,0.008,1562679130.4057221,1,1,1,1,19,4,13,2,2,2,0,12,12,10,2,12,0,1,0,11,286,67,173,63,129,46,124,145,63,82,3,3,5,3,2,0.27,19,19,21,14
org/apache/commons/validator/MultipleConfigFilesTest.java,133e5bb1bed1902092fa149d306f486ce1cf269f,5,0,0.0,0.065,1562679130.432627,1,1,1,1,30,5,15,8,1,0,2,7,7,7,1,7,0,0,1,6,267,55,119,47,95,93,97,106,46,60,2,2,2,1,1,0.78,8,8,8,7
org/apache/commons/validator/ExtensionTest.java,133e5bb1bed1902092fa149d306f486ce1cf269f,8,0,0.0,0.055999999999999994,1562679130.448535,1,1,1,1,26,5,13,7,1,0,4,11,11,11,1,11,0,0,2,9,363,78,158,60,129,127,129,143,60,83,2,2,2,1,1,0.8,12,12,12,11
org/apache/commons/validator/VarTest.java,133e5bb1bed1902092fa149d306f486ce1cf269f,1,0,0.0,0.01,1562679130.4660618,1,1,1,1,14,1,9,3,1,0,2,4,4,4,0,4,0,0,2,2,107,19,46,17,32,42,36,41,17,24,1,1,1,1,0,0.91,4,4,4,4
