"cycle_id","values","FPA","Accuracy","failures_25%_opt","failures_25%","exec_time_25%_opt","exec_time_25%","failures_50%_opt","failures_50%","exec_time_50%_opt","exec_time_50%","failures_75%_opt","failures_75%","exec_time_75%_opt","exec_time_75%"
"ce0c082898e3551d313fb5b73763f399232b3fd5",11,0.9142951251646902,1,0,0,0.006,0.006,0,0,0.102,0.593,0,0,0.7939999999999997,1.2686999999999995
"5b98a73e4db8d0cb1f29138b2f14319df7840ce1",14.999999999999998,0.7915860215053767,0.8666666666666666,0,0,0.004,0.2589666666666667,0,0,0.08,0.8547999999999999,0,0,0.7539999999999999,3.310066666666667
"1d1883f0e20215720eb583fd43eee088808c616b",85.00000000000001,0.8124186206510348,0.6156862745098041,0,0,0,0.26736666666666664,0,0,0.024,2.6483000000000003,0,0,0.18899999999999995,6.568866666666667
"bd9adbb637a8a4aa5eb61c6fde2c576d0ab3c4fa",11,0.8013175230566535,1,0,0,0.003,0.003,0,0,0.11199999999999999,1.4016666666666668,0,0,0.8299999999999998,2.314233333333333
"0fe9685c8a78ba2d780a3ec1e1a323990dc6d218",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"3899cc6570bd9176c84ad2d5d14febc6c0ddd964",1,1,0.03333333333333334,0,0,0.045999999999999985,0.045999999999999985,0,0,0.045999999999999985,0.045999999999999985,0,0,0.045999999999999985,0.045999999999999985
"697329630f16ee37cab30004aab5b0831fc9ecc3",11,0.8206192358366273,0.909090909090909,0,0,0.003,0.003,0,0,0.086,1.4233666666666667,0,0,0.7969999999999999,2.3095999999999997
"009e33bb5d2950ad46d80f0b84ac77f075378859",1,1,1,0,0,0.11400000000000002,0.11400000000000002,0,0,0.11400000000000002,0.11400000000000002,0,0,0.11400000000000002,0.11400000000000002
"0223a4d4cd127a1e209a04d8e1eff3296c0ed8c1",3,0.7857142857142854,0.6666666666666666,0,0,0.015000000000000001,0.04099999999999998,0,0,0.015000000000000001,0.04099999999999998,0,0,0.05599999999999999,0.115
"aa31bc6c313789c344d715b7c1aeea0cd8de47e2",6.999999999999997,0.8580952380952385,0.4285714285714285,0,0,0.006,0.096,0,0,0.024,0.13806666666666664,0,0,0.14200000000000002,0.23299999999999998
"7e85d1cf54b1e467607a0019b56f91577ebe2e4f",57.00000000000001,0.9172524264183699,0.8520467836257309,0,0,0,0.0205,0,0,0.029000000000000005,0.05716666666666667,0,0,0.178,1.9430999999999998
"13cd4e0ac3ab76a4dc091eda457f9a111727cba2",6,0.9747252747252747,1,0,0,0.001,0.002,0,0,0.006,0.006,0,0,0.027999999999999997,0.04853333333333333
"648eebba22d6398a01b0924975bedced8469ac80",57.00000000000001,0.9523396196638526,0.9157894736842107,0,0,0,0.0038,0,0,0.03,0.047700000000000006,0,0,0.17400000000000004,2.215133333333335
"eaa9269ac80c2a957cabed0c46173149a4137c24",57.00000000000001,0.9465725032220733,0.933333333333333,0,0,0,0.002566666666666667,0,0,0.024999999999999994,0.0251,0,0,0.181,2.1653
"4a26a86d0c0d9a72a0505ceedc7f1e39b984c302",45,0.9339162286988374,0.8177777777777778,0,0,0.005999999999999999,0.03143333333333334,0,0,0.068,0.08433333333333334,0,0,0.20399999999999996,0.3858666666666667
"e4b7ee81c1773eeb0bb71ca53bf722f046c16a16",6.999999999999997,0.889047619047619,0.857142857142857,0,0,0.006,0.008533333333333334,0,0,0.030000000000000002,1.1649999999999998,0,0,0.13200000000000003,1.285033333333333
"fbb5d31a581c24e925c442a7754358d2b62a669d",38,0.8927756454072246,0.8692982456140351,0,0,0,0.013,0,0,0.022999999999999993,0.07999999999999997,0,0,0.134,1.2599666666666667
"ec2fa6bd5695b36435cc66ca4cdd8183d077a0cf",1,1,1,0,0,0.12300000000000001,0.12300000000000001,0,0,0.12300000000000001,0.12300000000000001,0,0,0.12300000000000001,0.12300000000000001
"a06c99b9c094d66f0d33bd69e15fe01ba52a8b05",1,1,1,0,0,0.126,0.126,0,0,0.126,0.126,0,0,0.126,0.126
"b2c1afce7eb13ea44fc7d25562cc3bb83cc91b2f",19,0.7866126855600538,0.8140350877192981,0,0,0.006,0.012,0,0,0.04399999999999999,0.21263333333333334,0,0,0.122,0.7768666666666667
"c7c85ee39892df3ca007c6596c41654865be7e43",8.999999999999998,0.7716959064327487,0.6666666666666666,0,0,0,0.08813333333333331,0,0,0.002,0.10453333333333335,0,0,0.010999999999999998,0.105
"1f56bd103d53c8c6ba7502c6586c26be01bfdb80",45,0.9081881403620534,0.9318518518518518,0,0,0.009999999999999997,0.0153,0,0,0.07,0.2544333333333333,0,0,0.21699999999999994,0.7102333333333329
"2d61e349dbd3e2e81450c9ac531218220b7e422d",23,0.8799337033610852,0.9521739130434782,0,0,0,0.01096666666666667,0,0,0.004999999999999998,0.013633333333333332,0,0,0.033000000000000015,2.3410000000000006
"c503d742f094dc2048b72c3f78f5e2e6070a44e1",21.000000000000007,0.8477801268498942,0.7841269841269839,0,0,0.009,0.05893333333333334,0,0,0.04499999999999998,0.3025333333333333,0,0,0.13299999999999998,0.519433333333333
"a2d41db55aa46bd4fedb215c978f03e282cf1ffb",21.000000000000007,0.8976341487969397,0.9238095238095236,0,0,0.004999999999999998,0.004999999999999998,0,0,0.036,0.46093333333333325,0,0,0.119,0.5592333333333332
"71d9e00d42b278ce9d216b33bf1a9c8606fbcb49",21.000000000000007,0.9249270109735226,0.876190476190476,0,0,0.006999999999999999,0.008399999999999998,0,0,0.045999999999999985,0.3657,0,0,0.143,0.5168333333333333
"0b11c6043467e9d06880a069bba68d90fbcbb018",1,1,1,0,0,0.08900000000000001,0.08900000000000001,0,0,0.08900000000000001,0.08900000000000001,0,0,0.08900000000000001,0.08900000000000001
"a81791c093ffb27150c98585aa3bebeabd3586d5",3,0.8047619047619047,0.6666666666666666,0,0,0.013000000000000003,0.020999999999999998,0,0,0.013000000000000003,0.020999999999999998,0,0,0.034,0.09639999999999999
"291eaf16bf208e1012dc5da722a53fb5870c3035",2,0.7999999999999998,0.016666666666666666,0,0,0.065,0.106,0,0,0.065,0.106,0,0,0.065,0.106
"d772e171d64c9dc617f16cbb8475d13792538e15",6,0.873260073260073,0.7277777777777779,0,0,0.009,0.011766666666666665,0,0,0.03300000000000001,0.06949999999999999,0,0,0.05300000000000001,0.1343666666666666
"d0049e1ac38c11d10431b2b9f76d03f3a62ab44b",22,0.8306719367588934,0.8893939393939392,0,0,0.006999999999999999,0.011999999999999999,0,0,0.043,0.4467,0,0,0.13200000000000003,0.7198666666666668
"ab60f735c721103ac888d8d7b801055921336687",3,0.7904761904761902,1,0,0,0.013999999999999997,0.05500000000000001,0,0,0.013999999999999997,0.05500000000000001,0,0,0.06899999999999999,0.1299
"ecf6de89ba1a6542c68194e95d14ea944b6c92b7",1,1,1,0,0,0.09199999999999997,0.09199999999999997,0,0,0.09199999999999997,0.09199999999999997,0,0,0.09199999999999997,0.09199999999999997
"a2660687980b36003a612eb89b40d6fdecb4b153",1,1,1,0,0,0.11800000000000001,0.11800000000000001,0,0,0.11800000000000001,0.11800000000000001,0,0,0.11800000000000001,0.11800000000000001
"b3c31a379e9ad7cd22cb7f0669b82361ced84992",21.000000000000007,0.8608980167119703,0.9015873015873012,0,0,0.004,0.011999999999999999,0,0,0.035,0.6292666666666665,0,0,0.144,0.7722
"4ff5974c4ab78f82ab43ff6e518fab72b366c1f6",2,1,1,0,0,0.001,0.001,0,0,0.001,0.001,0,0,0.001,0.001
"204ed0048f4812201ef65c9a0c44fa54a7d1e04f",1,1,1,0,0,0.11100000000000002,0.11100000000000002,0,0,0.11100000000000002,0.11100000000000002,0,0,0.11100000000000002,0.11100000000000002
